index,name,group
0,dfagis,dfagis
1,uno,uno
2,rcs,rcs
3,ana1,ana1
4,atl,atl
5,git,git
6,applications-conf-do,applications-conf-do
7,stg,stg
8,dgp,dgp
9,dinar,dinar
10,anabel,anabel
11,file,file
12,applications-conf-actions,applications-conf-actions
13,ihpt,ihpt
14,dmd,dmd
15,quality,quality
16,export-data-objects,export-data-objects
17,reporting,reporting
18,rep,rep
19,neig,neig
20,fzg,fzg
21,export-actions,export-actions
22,direktlink,direktlink
