id,type,name,description,layer,subjectarea,tags,path,partitions,table,creator,connectionid
stg_stammdaten_gefahrgut_leitstoff,TickTockHiveTableDataObject,"","","","","",/stg_stammdaten_gefahrgut_leitstoff/data/,"",lab_anabel.stg_stammdaten_gefahrgut_leitstoff(un_nr),"",anabelStageLayerConnection
atl_zuglauf_strecke,HiveTableDataObject,"","","","","",/zuglauf_strecke/data/,dt,app_anabel.atl_zuglauf_strecke,"",anabelAtlLayerConnection
atl_fahrweg_gleiskante,HiveTableDataObject,"","","","","",/fahrweg_gleiskante/data/,dt,app_anabel.atl_fahrweg_gleiskante,"",anabelAtlLayerConnection
uno_gleiskante,HiveTableDataObject,"","","","","","","",app_datalake.btl_uno_h_gleiskante,"",""
dfagis_streckengeometrie,HiveTableDataObject,"","","","","","","",app_datalake.btl_dfagis_os_streckengeometrie_hist,"",""
stg_positionspunkt,TickTockHiveTableDataObject,"","","","","",/stg_positionspunkt/data/,zoom,lab_anabel.stg_positionspunkt,"",anabelStageLayerConnection
rcs_fahrweg,HiveTableDataObject,"","","","","","",dt,app_datalake.btl_rcsarchiv_fahrweg,"",""
rcs_formation,HiveTableDataObject,"","","","","","",dt,app_datalake.btl_rcsarchiv_formation,"",""
rep_laerm_streckenbelastung,HiveTableDataObject,"","","","","",/rep/rep_laerm_streckenbelastung/data,"",lab_anabel.rep_laerm_streckenbelastung,"",anabelStageLayerConnection
file_stammdaten_gefahrgut_bezeichnungen,CsvFileDataObject,"","","","","",hdfs://nameservice1/user/fbd_lab_anabel/stammdaten/gefahrgut/UN_Bezeichnungen.csv,"","","",""
stg_formation,HiveTableDataObject,"","","","","",/stg_formation/data/,dt,lab_anabel.stg_formation,"",anabelStageLayerConnection
dfagis_strecke,HiveTableDataObject,"","","","","","","",app_datalake.btl_dfagis_os_strecke_hist,"",""
stg_streckenkombination,HiveTableDataObject,"","","","","",/stg_streckenkombination/data/,"",lab_anabel.stg_streckenkombination,"",anabelStageLayerConnection
stg_befahrbarkeit,HiveTableDataObject,"","","","","",/stg_befahrbarkeit/data/,"",lab_anabel.stg_befahrbarkeit,"",anabelStageLayerConnection
stg_positionspunkt_gtgstrang,TickTockHiveTableDataObject,"","","","","",/stg_positionspunkt_gtgstrang/data/,zoom,lab_anabel.stg_positionspunkt_gtgstrang,"",anabelStageLayerConnection
ihpt_tf,TickTockHiveTableDataObject,"","","","","","",dt,app_datalake.int_ihpt_fos_tf,"",""
reporting_gleisbelastung,JdbcTableDataObject,"","","","","","","",GSU_ANABEL.gleisbelastung,"",jdbcReportingConnection
git_stammdaten_zugkategorie,WebserviceFileDataObject,"","","","","","","","","",""
git_stammdaten_gefahrgut_leitstoff,WebserviceFileDataObject,"","","","","","","","","",""
stg_gleiskante_clean,HiveTableDataObject,"","","","","",/uno_h_gleiskante_clean/data/,"",lab_anabel.uno_h_gleiskante_clean,"",anabelStageLayerConnection
reporting_gefahrengut_strecke,JdbcTableDataObject,"","","","","","","",GSU_ANABEL.gefahrengut_strecke,"",jdbcReportingConnection
ana1_fahrtyp_mapping,HiveTableDataObject,"","","","","","","",lab_anabel.ana1_fahrtyp_mapping,"",""
stg_zuglauf_strecke,HiveTableDataObject,"","","","","",/stg_zuglauf_strecke/data/,dt,"lab_anabel.stg_zuglauf_strecke(dt,id_zug,reihenfolge)","",anabelStageLayerConnection
dfagis_betriebspunkt,HiveTableDataObject,"","","","","","","",app_datalake.btl_dfagis_os_betriebspunkt_hist,"",""
stg_stammdaten_gefahrgut_gefahrgutklassen,TickTockHiveTableDataObject,"","","","","",/stg_stammdaten_gefahrgut_gefahrgutklassen/data/,"",lab_anabel.stg_stammdaten_gefahrgut_gefahrgutklassen(UN_Nr),"",anabelStageLayerConnection
git_stammdaten_gefahrgut_gefahrgutklassen,WebserviceFileDataObject,"","","","","","","","","",""
stg_mag_ignorandum,HiveTableDataObject,"","","","","",/stg_mag_ignorandum/data/,"",lab_anabel.stg_mag_ignorandum(id_mitte_ag),"",anabelStageLayerConnection
applications-conf-do,DataObjectsExporterDataObject,"","","","","","","","","",""
stg_fahrweg_gtgstrang,HiveTableDataObject,"","","","","",/stg_fahrweg_gtgstrang/data/,dt,"lab_anabel.stg_fahrweg_gtgstrang(dt,id_zug,reihenfolge,id_strecke)","",anabelStageLayerConnection
atl_zuglauf,HiveTableDataObject,"","","","","",/zuglauf/data/,dt,app_anabel.atl_zuglauf,"",anabelAtlLayerConnection
dgp_netzelemente,HiveTableDataObject,"","","","","","","",app_datalake.btl_dgp_netzelemente,"",""
uno_gleispunkt,HiveTableDataObject,"","","","","","","",app_datalake.btl_uno_h_gleispunkt,"",""
atl_fahrweg_gtgstrang,HiveTableDataObject,"","","","","",/fahrweg_gtgstrang/data/,dt,app_anabel.atl_fahrweg_gtgstrang,"",anabelAtlLayerConnection
stg_gtgstrang,HiveTableDataObject,"","","","","",/stg_gtgstrang/data/,"",lab_anabel.stg_gtgstrang(neid_gtgstrang),"",anabelStageLayerConnection
stg_formation_ihpt,HiveTableDataObject,"","","","","",/stg_formation_ihpt/data/,dt,lab_anabel.stg_formation_ihpt,"",anabelStageLayerConnection
dinar_gtgweiche,HiveTableDataObject,"","","","","","","",app_datalake.btl_dinar_gtgweiche,"",""
stg_strecke_gleis_bezug,HiveTableDataObject,"","","","","",/stg_strecke_gleis_bezug/data/,"","lab_anabel.stg_strecke_gleis_bezug(id_gleisstrang,gs_position_von,gueltig_ab)","",anabelStageLayerConnection
ana1_grundtyp,HiveTableDataObject,"","","","","","","",lab_anabel.ana1_grundtyp,"",""
stg_gleiskante2gleisstrang,HiveTableDataObject,"","","","","",/stg_gleiskante2gleisstrang/data/,"",lab_anabel.stg_gleiskante2gleisstrang,"",anabelStageLayerConnection
anabel_gtgstrang_plus,HiveTableDataObject,"","","","","","","",app_anabel.dinar_gtgstrang_plus,"",""
file_stammdaten_gefahrgut_leitstoff,CsvFileDataObject,"","","","","",hdfs://nameservice1/user/fbd_lab_anabel/stammdaten/gefahrgut/UN_Leitstoff_Risiken.csv,"","","",""
rcs_zuglauf,HiveTableDataObject,"","","","","","",dt,app_datalake.btl_rcsarchiv_zuglauf,"",""
stg_gtg2gleisstrang,HiveTableDataObject,"","","","","",/stg_gtg2gleisstrang/data/,"","lab_anabel.stg_gtg2gleisstrang(neid_gtgstrang,id_gleisstrang,gueltig_ab)","",anabelStageLayerConnection
stg_zuglauf,HiveTableDataObject,"","","","","",/stg_zuglauf/data/,dt,lab_anabel.stg_zuglauf,"",anabelStageLayerConnection
stg_gleisknoten_clean,HiveTableDataObject,"","","","","",/uno_h_gleisknoten_clean/data/,"",lab_anabel.uno_h_gleisknoten_clean,"",anabelStageLayerConnection
stg_stammdaten_gefahrgut_bezeichnungen,HiveTableDataObject,"","","","","",/stg_stammdaten_gefahrgut_bezeichnungen/data/,"",lab_anabel.stg_stammdaten_gefahrgut_bezeichnungen(UN_Nr),"",anabelStageLayerConnection
stg_fahrweg_gleiskante,HiveTableDataObject,"","","","","",/stg_fahrweg_gleiskante/data/,dt,"lab_anabel.stg_fahrweg_gleiskante(dt,id_zug,reihenfolge)","",anabelStageLayerConnection
direktlink_gleisbelastung,HiveTableDataObject,"","","","","",/direktlink_gleisbelastung/data/,dt,lab_anabel.direktlink_gleisbelastung,"",anabelStageLayerConnection
atl_formation,HiveTableDataObject,"","","","","",/formation/data/,dt,app_anabel.atl_formation,"",anabelAtlLayerConnection
stg_zuglauf_ignorandum,HiveTableDataObject,"","","","","",/stg_zuglauf_ignorandum/data/,dt,lab_anabel.stg_zuglauf_ignorandum,"",anabelStageLayerConnection
stg_gleispunkt_clean,HiveTableDataObject,"","","","","",/uno_h_gleispunkt_clean/data/,"",lab_anabel.uno_gleispunkt_clean,"",anabelStageLayerConnection
file_fzg_stammdaten,JsonFileDataObject,"","","","","",hdfs://nameservice1/user/fbd_lab_anabel/stage/anabel/stammdaten_git/data/20200709/fzgstammdaten.json,"","","",""
uno_mitte_ag,HiveTableDataObject,"","","","","","","",app_datalake.btl_uno_h_mitte_ag,"",""
uno_gleisknoten,HiveTableDataObject,"","","","","","","",app_datalake.btl_uno_h_gleisknoten,"",""
stg_gtg2strecke,HiveTableDataObject,"","","","","",/stg_gtg2strecke/data/,"","lab_anabel.stg_gtg2strecke(neid_gtgstrang,strecke_gtgposition_von,gueltig_ab)","",anabelStageLayerConnection
