id,type,name,description,feed,tags,inputid,outputid,transformer,columnblacklist,columnwhitelist,breakdataframelineage,persist
file_stammdaten_gefahrgut_bezeichnungen,FileTransferAction,"","",gefahrgut_bezeichnungen_file,"",git_stammdaten_gefahrgut_bezeichnungen,file_stammdaten_gefahrgut_bezeichnungen,"","","","",""
stg_formation,CustomSparkAction,"","",bew_stg_formation,"","stg_formation_ihpt,stg_formation_rcs",stg_formation,className: ch.sbb.bigdata.anabel.stg.formation.JoinedTransformer,"","",true,false
stg_streckenkombination,CustomSparkAction,"","",stamm_stg_streckenkombination,"","stg_befahrbarkeit,stg_strecken_dfa",stg_streckenkombination,className: ch.sbb.bigdata.anabel.stg.zuglauf.StreckenkombinationTransformer,"","",true,false
stg_befahrbarkeit,CustomSparkAction,"","",stamm_stg_befahrbarkeit,"",stg_strecken_dfa,stg_befahrbarkeit,className: ch.sbb.bigdata.anabel.stg.befahrbarkeit.BefahrbarkeitTransformer,"","",true,false
stg_positionspunkt_gtgstrang,CustomSparkAction,"","",stamm_stg_positionspunkt_gtgstrang,"","stg_positionspunkt_dinar_dgp_plus,stg_positionspunkt",stg_positionspunkt_gtgstrang,className: ch.sbb.bigdata.anabel.stg.positionspunkt.PositionspunktGTGStrangTransformer,"","",true,false
reporting_gleisbelastung,CustomSparkAction,"","",bew_reporting_gleisbelastung,"","atl_fahrweg_gtgstrang,atl_formation,atl_zuglauf,stg_stammdaten_zugkategorie",reporting_gleisbelastung,className: ch.sbb.bigdata.anabel.reporting.ReportingGleisbelastungTransformer,"","",true,false
reporting_gefahrengut_strecke,CustomSparkAction,"","",bew_reporting_gefahrengut_strecke,"","atl_formation,atl_zuglauf_strecke,atl_zuglauf,uno_betriebspunkt,stg_stammdaten_zugkategorie,stg_stammdaten_gefahrgut_bezeichnungen,stg_stammdaten_gefahrgut_gefahrgutklassen,stg_stammdaten_gefahrgut_leitstoff",reporting_gefahrengut_strecke,className: ch.sbb.bigdata.anabel.reporting.ReportingGefahrengutStreckeTransformer,"","",true,false
stg_zuglauf_strecke,CustomSparkAction,"","",bew_stg_zuglauf_strecke,"","stg_streckenkombination,stg_strecken_dfa,stg_zuglauf_ignorandum","stg_zuglauf_strecke,stg_zuglauf_strecke_agg",className: ch.sbb.bigdata.anabel.stg.zuglauf.ZuglaufStreckenkombinationTransformer,"","",true,false
stg_stammdaten_gefahrgut_gefahrgutklassen,CustomSparkAction,"","",gefahrgut_gefahrgutklassen_stg,"",file_stammdaten_gefahrgut_gefahrgutklassen,stg_stammdaten_gefahrgut_gefahrgutklassen,className: ch.sbb.bigdata.anabel.stammdaten.GefahrgutGefahrgutklassenTransformer,"","",false,false
stg_positionspunkt_uno_plus,CustomSparkAction,"","",stamm_stg_positionspunkt_uno_plus,"","uno_weichengrenze,stg_gleisknoten_clean,stg_gleiskante_clean,stg_gleispunkt_clean",stg_gleiskante_plus,className: ch.sbb.bigdata.anabel.stg.positionspunkt.UNOPlusTransformer,"","",true,false
stg_mag_ignorandum,CustomSparkAction,"","",stamm_stg_mag_ignorandum,"",stg_mag_strecke,stg_mag_ignorandum,className: ch.sbb.bigdata.anabel.stg.positionspunkt.MagIgnorandumTransformer,"","",true,false
stg_fahrweg_gtgstrang,CustomSparkAction,"","",bew_stg_fahrweg_gtgstrang,"","stg_fahrweg_gleiskante,stg_gleiskante_clean,stg_gleiskante_gtgstrang_mapping,stg_gtg2strecke,stg_positionspunkt_dinar_dgp_plus",stg_fahrweg_gtgstrang,className: ch.sbb.bigdata.anabel.stg.zuglauf.FahrwegGtgTransformer,"","",true,false
atl_zuglauf,CustomSparkAction,"","",bew_atl_zuglauf,"",stg_zuglauf,atl_zuglauf,className: ch.sbb.bigdata.anabel.atl.ATLZuglaufTransformer,"","",true,false
stg_gtgstrang,CustomSparkAction,"","",stamm_stg_gtgstrang,"",dinar_gtgstrang,stg_gtgstrang,className: ch.sbb.bigdata.anabel.stg.positionspunkt.GtgTransformer,"","",true,false
